CIRCONSCRIPTION                    ;      ;    ;     ;Bellerose           ;Deschamps           ;Fournier            ;Gagnon              ;Jenkins             ;Loignon             ;Manolikakis         ;Pigeon              
Saint-Laurent                      ;S.É.  ;S.V.;É.I. ;Maxime              ;Fernand             ;Jean-Marc           ;Roger               ;Brian               ;Pierre Etienne      ;George              ;Marie Josèphe       
MUNICIPALITÉS                      ;      ;    ;     ;O.N.                ;P.M.L.Q.            ;P.L.Q./Q.L.P.       ;P.Q.                ;P.U.N.              ;P.V.Q./G.P.Q.       ;C.A.Q.-É.F.L.       ;Q.S.                
Montréal,v (p)                     ;021.00;1;277;2;1;113;57;0;1;27;8
Montréal,v (p)                     ;021.00;2;239;0;0;0;0;0;0;0;0
Montréal,v (p)                     ;021.00;3;289;0;0;115;22;0;3;42;3
Montréal,v (p)                     ;021.00;4;243;2;0;130;5;0;2;20;4
Montréal,v (p)                     ;021.00;5;277;1;0;135;23;0;1;27;14
Montréal,v (p)                     ;021.00;6;353;2;1;162;16;0;4;30;3
Montréal,v (p)                     ;021.00;7;287;1;0;128;14;0;5;25;3
Montréal,v (p)                     ;021.00;8;289;2;1;114;16;1;2;38;10
Montréal,v (p)                     ;021.00;9;291;6;1;99;43;1;5;41;7
Montréal,v (p)                     ;021.00;10;302;0;0;129;13;1;0;22;8
TOTAL DU SECTEUR                   ;      ;    ;2847;16;4;1125;209;3;23;272;60
Montréal,v (p)                     ;022.00;11;294;2;0;127;3;0;2;21;6
Montréal,v (p)                     ;022.00;12;277;1;1;115;13;0;2;22;1
Montréal,v (p)                     ;022.00;13;293;2;0;115;17;0;1;30;13
Montréal,v (p)                     ;022.00;14;290;2;0;123;12;0;2;31;10
Montréal,v (p)                     ;022.00;15;306;0;0;108;35;0;7;43;5
Montréal,v (p)                     ;022.00;16;295;4;0;107;20;0;3;30;10
Montréal,v (p)                     ;022.00;17;318;2;0;68;17;0;2;23;3
Montréal,v (p)                     ;022.00;18;127;0;0;0;0;0;0;0;0
Montréal,v (p)                     ;022.00;19;76;0;0;0;0;0;0;0;0
Montréal,v (p)                     ;022.00;20;284;3;1;53;36;0;4;28;18
TOTAL DU SECTEUR                   ;      ;    ;2560;16;2;816;153;0;23;228;66
Montréal,v (p)                     ;023.00;21;310;2;0;64;48;0;2;41;16
Montréal,v (p)                     ;023.00;22;290;2;2;61;57;1;1;24;10
Montréal,v (p)                     ;023.00;23;266;0;0;41;41;0;2;19;11
Montréal,v (p)                     ;023.00;24;300;1;0;77;38;2;4;20;8
Montréal,v (p)                     ;023.00;25;300;0;0;46;27;0;2;21;7
Montréal,v (p)                     ;023.00;26;244;0;2;68;12;0;1;16;5
Montréal,v (p)                     ;023.00;27;326;1;0;75;25;1;4;25;13
Montréal,v (p)                     ;023.00;28;284;0;0;61;24;2;8;17;15
Montréal,v (p)                     ;023.00;29;264;0;0;0;0;0;0;0;0
Montréal,v (p)                     ;023.00;30;283;5;0;61;48;1;2;33;10
Montréal,v (p)                     ;023.00;31;280;2;0;51;62;0;3;39;20
TOTAL DU SECTEUR                   ;      ;    ;3147;13;4;605;382;7;29;255;115
Montréal,v (p)                     ;024.00;32;279;1;0;78;29;1;4;29;14
Montréal,v (p)                     ;024.00;33;279;5;0;64;56;0;2;30;26
Montréal,v (p)                     ;024.00;34;286;1;0;82;39;1;4;36;21
Montréal,v (p)                     ;024.00;35;280;4;1;57;61;0;5;27;28
Montréal,v (p)                     ;024.00;36;270;5;0;56;68;0;2;31;26
Montréal,v (p)                     ;024.00;37;278;2;0;101;34;0;1;21;14
TOTAL DU SECTEUR                   ;      ;    ;1672;18;1;438;287;2;18;174;129
Montréal,v (p)                     ;025.00;38;317;2;0;137;24;2;5;25;9
Montréal,v (p)                     ;025.00;39;304;0;1;111;51;0;0;31;16
Montréal,v (p)                     ;025.00;40;292;0;3;136;16;1;0;22;15
Montréal,v (p)                     ;025.00;41;263;2;0;106;20;0;1;23;7
Montréal,v (p)                     ;025.00;42;293;1;1;84;14;1;0;22;4
Montréal,v (p)                     ;025.00;43;259;5;0;69;29;1;8;26;11
Montréal,v (p)                     ;025.00;44;280;2;1;62;16;1;0;9;11
TOTAL DU SECTEUR                   ;      ;    ;2008;12;6;705;170;6;14;158;73
Montréal,v (p)                     ;026.00;45;253;1;0;85;10;1;0;8;7
Montréal,v (p)                     ;026.00;46;288;2;0;97;14;2;5;16;10
Montréal,v (p)                     ;026.00;47;284;0;1;83;34;0;1;37;8
Montréal,v (p)                     ;026.00;48;261;0;0;68;16;0;0;13;6
Montréal,v (p)                     ;026.00;49;255;1;1;97;11;0;2;25;11
Montréal,v (p)                     ;026.00;50;322;0;0;54;10;1;0;11;5
Montréal,v (p)                     ;026.00;51;446;1;0;97;24;3;1;26;12
Montréal,v (p)                     ;026.00;52;258;3;0;71;5;1;5;7;8
Montréal,v (p)                     ;026.00;53;275;1;0;73;12;0;5;14;11
Montréal,v (p)                     ;026.00;54;240;0;2;81;6;0;9;4;4
Montréal,v (p)                     ;026.00;55;249;0;1;66;13;0;7;5;5
TOTAL DU SECTEUR                   ;      ;    ;3131;9;5;872;155;8;35;166;87
Montréal,v (p)                     ;027.00;56;300;1;0;134;11;0;1;9;6
Montréal,v (p)                     ;027.00;57;302;6;1;100;21;1;5;26;9
Montréal,v (p)                     ;027.00;58;273;1;1;123;11;0;4;21;4
Montréal,v (p)                     ;027.00;59;262;0;1;107;9;1;2;11;3
Montréal,v (p)                     ;027.00;60;294;0;0;131;6;0;4;11;7
Montréal,v (p)                     ;027.00;61;297;0;0;103;9;0;0;20;6
Montréal,v (p)                     ;027.00;62;297;2;0;127;13;0;4;25;3
Montréal,v (p)                     ;027.00;63;295;2;0;121;24;0;6;28;13
Montréal,v (p)                     ;027.00;64;306;0;1;118;14;0;9;23;6
TOTAL DU SECTEUR                   ;      ;    ;2626;12;4;1064;118;2;35;174;57
Montréal,v (p)                     ;028.00;65;265;0;0;113;15;0;2;11;15
Montréal,v (p)                     ;028.00;66;273;1;0;97;19;0;0;14;9
Montréal,v (p)                     ;028.00;67;468;1;0;194;10;2;5;52;4
Montréal,v (p)                     ;028.00;68;271;3;0;122;15;0;2;25;9
Montréal,v (p)                     ;028.00;69;271;1;0;121;6;0;3;21;1
Montréal,v (p)                     ;028.00;70;294;0;0;133;2;0;2;22;2
Montréal,v (p)                     ;028.00;71;296;1;0;110;21;1;2;20;6
Montréal,v (p)                     ;028.00;72;299;1;1;165;6;0;4;30;2
Montréal,v (p)                     ;028.00;73;260;0;0;145;3;1;1;20;0
Montréal,v (p)                     ;028.00;74;684;0;0;255;6;1;7;84;3
Montréal,v (p)                     ;028.00;75;383;0;0;155;5;0;1;41;7
Montréal,v (p)                     ;028.00;76;579;2;3;243;21;0;9;55;6
Montréal,v (p)                     ;028.00;77;503;0;0;183;18;0;2;46;4
Montréal,v (p)                     ;028.00;78;262;0;0;90;16;1;2;44;7
Montréal,v (p)                     ;028.00;79;428;0;0;150;27;0;2;49;7
Montréal,v (p)                     ;028.00;80;800;2;0;292;26;0;10;121;9
Montréal,v (p)                     ;028.00;81;288;3;0;95;13;0;3;37;1
Montréal,v (p)                     ;028.00;82;335;5;1;118;11;1;3;32;1
TOTAL DU SECTEUR                   ;      ;    ;6959;20;5;2785;240;7;60;724;93
Montréal,v (p)                     ;029.00;83;291;1;0;98;6;0;0;18;4
Montréal,v (p)                     ;029.00;84;281;0;1;83;12;0;2;18;5
Montréal,v (p)                     ;029.00;85;273;2;0;109;5;0;1;19;7
Montréal,v (p)                     ;029.00;86;278;0;1;92;2;0;4;11;5
Montréal,v (p)                     ;029.00;87;299;0;0;88;6;0;0;13;2
Montréal,v (p)                     ;029.00;88;96;0;0;0;0;0;0;0;0
Montréal,v (p)                     ;029.00;89;272;0;0;85;10;0;3;12;2
Montréal,v (p)                     ;029.00;90;281;2;0;88;1;0;3;17;4
Montréal,v (p)                     ;029.00;91;276;0;0;101;8;1;0;13;5
Montréal,v (p)                     ;029.00;92;314;0;0;115;8;0;3;16;3
Montréal,v (p)                     ;029.00;93;367;2;0;142;12;1;5;21;7
Montréal,v (p)                     ;029.00;94;339;0;0;101;11;0;6;29;3
Montréal,v (p)                     ;029.00;95;262;1;1;89;12;0;2;29;3
Montréal,v (p)                     ;029.00;96;273;4;0;87;9;1;5;37;11
Montréal,v (p)                     ;029.00;97;238;0;0;76;11;1;1;30;4
Montréal,v (p)                     ;029.00;98;301;2;0;101;24;1;5;42;13
Montréal,v (p)                     ;029.00;99;266;0;0;107;16;0;4;13;3
Montréal,v (p)                     ;029.00;100;397;1;0;186;20;1;5;47;5
Montréal,v (p)                     ;029.00;101;254;0;0;0;0;0;0;0;0
Montréal,v (p)                     ;029.00;102;281;1;0;116;10;0;3;27;7
Montréal,v (p)                     ;029.00;103;355;2;0;127;10;0;4;32;7
Montréal,v (p)                     ;029.00;104;281;2;1;67;23;1;3;30;5
TOTAL DU SECTEUR                   ;      ;    ;6275;20;4;2058;216;7;59;474;105
Montréal,v (p)                     ;030.00;105;558;11;0;144;30;0;2;55;19
Montréal,v (p)                     ;030.00;106;269;1;0;107;16;0;3;10;7
Montréal,v (p)                     ;030.00;107;256;2;0;82;12;0;2;15;11
Montréal,v (p)                     ;030.00;108;272;0;0;98;28;1;10;22;12
Montréal,v (p)                     ;030.00;109;259;1;1;85;8;0;6;11;10
TOTAL DU SECTEUR                   ;      ;    ;1614;15;1;516;94;1;23;113;59
Montréal,v (p)                     ;031.00;110;282;2;3;92;8;0;6;24;10
Montréal,v (p)                     ;031.00;111;289;6;1;108;22;1;4;8;15
Montréal,v (p)                     ;031.00;112;278;1;0;104;16;0;1;22;6
Montréal,v (p)                     ;031.00;113;280;2;1;73;36;0;3;22;12
Montréal,v (p)                     ;031.00;114;290;1;2;118;21;0;6;24;6
TOTAL DU SECTEUR                   ;      ;    ;1419;12;7;495;103;1;20;100;49
Montréal,v (p)                     ;032.00;115;237;1;0;72;17;0;3;15;7
Montréal,v (p)                     ;032.00;116;242;0;1;59;16;1;4;17;5
Montréal,v (p)                     ;032.00;117;223;2;0;56;18;1;2;9;1
Montréal,v (p)                     ;032.00;118;299;3;0;104;15;1;6;9;2
Montréal,v (p)                     ;032.00;119;321;5;3;116;12;0;4;19;9
TOTAL DU SECTEUR                   ;      ;    ;1322;11;4;407;78;3;19;69;24
Montréal,v (p)                     ;033.00;120;281;4;1;65;17;3;7;17;10
Montréal,v (p)                     ;033.00;121;297;2;0;70;24;1;3;17;13
Montréal,v (p)                     ;033.00;122;288;1;1;92;12;1;4;5;6
